spotify_id,valence,danceability,energy,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,tempo,key,mode,instrumentalness,liveness,speechiness,acousticness,loudness
65hzDZbjAZpJZZf3diITpP,0.594,0.677,0.609,4.0,4.733333333333334,3.43,4.206666666666667,113.971,4.0,0.0,0.00284,0.0886,0.0267,0.151,-7.462999999999999
3pUoLeK4j2XHIuuqU8FECt,0.0795,0.476,0.405,18.0,5.939223300970875,3.55747572815534,5.5764077669902905,137.019,0.0,1.0,0.0521,0.208,0.0355,0.496,-10.543
1Qi2wh8fFgDV7tl4Sj3f2K,0.344,0.438,0.178,4.0,7.07,2.535,6.63,75.248,5.0,1.0,0.0,0.316,0.0414,0.957,-9.402
6WnYONkaYOchkMXUz0Eu0W,0.693,0.537,0.753,2.0,7.57,4.61,6.89,90.292,8.0,1.0,1.52e-05,0.368,0.35,0.328,-9.441
4jovm2cvQh5HqTlH7xksdL,0.579,0.562,0.0521,10.0,6.817999999999999,3.2426666666666666,6.025999999999999,108.168,0.0,1.0,0.0157,0.11,0.0383,0.983,-23.306
7gjkJlqS68tPyXiDCAJImK,0.493,0.467,0.0663,9.0,6.560909090909092,2.984545454545455,6.021818181818182,126.911,0.0,1.0,0.247,0.111,0.0586,0.992,-21.685
2Swpr4UiCfYUl1wbxrduBs,0.389,0.452,0.149,24.0,5.996649484536082,3.7751546391752577,5.692474226804122,131.071,7.0,1.0,0.304,0.165,0.0378,0.987,-14.99
36ptC75Bp6pKICI1lE8QHS,0.551,0.573,0.438,5.0,7.629344262295081,4.343770491803279,6.222786885245903,111.803,7.0,1.0,0.0,0.223,0.026,0.306,-9.9
6N3NBd2vrhbH5m8ZHFO6xI,0.216,0.428,0.264,10.0,5.738841463414634,3.568231707317073,5.428658536585366,123.69,11.0,1.0,3.63e-06,0.122,0.0437,0.795,-13.898
7Km4W3atUNjhf05szq2Gkb,0.43,0.364,0.126,6.0,5.4890361445783125,4.139759036144579,5.433614457831324,90.429,7.0,1.0,0.000203,0.0969,0.0286,0.862,-18.071
71UfXGXPCyi0zMNeXoogdk,0.8340000000000001,0.61,0.5710000000000001,10.0,5.876971428571427,3.6395428571428576,6.024571428571428,176.87900000000005,4.0,1.0,0.0,0.11,0.0533,0.682,-5.858
1SwZVVH9BnXtLRLi2cbFhw,0.583,0.643,0.878,1.0,7.42,3.17,6.95,128.035,9.0,1.0,0.0,0.105,0.0673,0.163,-2.998
2hHI4KanprSsWQz6DBbwZz,0.394,0.352,0.354,3.0,6.98,3.263333333333333,6.57,85.704,6.0,1.0,0.000225,0.112,0.028,0.7240000000000001,-13.253
0qexU8674Ii6vaeFolN6Gb,0.132,0.39,0.132,3.0,4.85,2.07,4.35,96.718,2.0,1.0,0.0,0.0789,0.0334,0.838,-17.136
5pYoVsL8N5h8gO7dGqs2q7,0.398,0.615,0.134,5.0,3.7954330708661415,3.2374015748031493,4.943543307086616,97.621,7.0,1.0,0.00316,0.0905,0.041,0.945,-20.336
013AWvizllIUEC2FOBzOnh,0.816,0.555,0.698,4.0,6.2153409090909095,3.849772727272728,4.89215909090909,168.12,0.0,1.0,0.0,0.0851,0.0287,0.403,-8.874
5MNX5EUXOPzu17gqwSWnPU,0.359,0.51,0.39,7.0,5.67,3.202857142857143,5.355714285714286,141.21200000000005,9.0,1.0,0.000226,0.13,0.044,0.532,-9.47
6ppsYmPvK5Wp1QBdJyTc7s,0.4,0.407,0.401,3.0,6.882,3.1019999999999994,6.61,197.706,0.0,1.0,0.0,0.0814,0.0387,0.728,-12.928
4YkN3JlceD5n2aMqL1kFnH,0.611,0.529,0.44,5.0,7.21,4.406,6.608,103.669,5.0,1.0,1.05e-05,0.328,0.0302,0.742,-9.11
3OXpLyn8M0fbUBvnyhxF6I,0.397,0.57,0.195,2.0,3.71,1.585,3.475,117.084,10.0,1.0,0.000616,0.0937,0.0331,0.066,-10.679
1Z6bXpyVTGTESUbE4oZn6q,0.102,0.493,0.165,1.0,7.42,3.17,6.95,79.60300000000002,0.0,1.0,0.000233,0.088,0.0335,0.61,-15.231
421zak2z7xyAiOxcxycfiJ,0.152,0.425,0.0232,5.0,5.961666666666667,2.918333333333333,5.67,124.708,11.0,1.0,2.05e-06,0.111,0.0372,0.633,-21.946
